,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
256,  Sleep Tight,2011,7.2,/title/tt1437358/,5000000.0,8791590.0,3791590.0,2011-10-14,10
257,  The Monitor,2011,5.7,/title/tt1595833/,2500000.0,1417397.0,-1082603.0,2011-10-07,10
258,  The Thing (I),2011,6.2,/title/tt0905372/,38000000.0,31505287.0,-6494713.0,2011-10-14,10
259,  Apartment 143,2011,5,/title/tt1757742/,,4144297.0,,2012-05-04,05
260,  Paranormal Activity 3,2011,5.8,/title/tt1778304/,5000000.0,207039844.0,202039844.0,2011-10-21,10
261,  Beneath the Darkness,2011,4.5,/title/tt1781775/,7300000.0,23998.0,-7276002.0,2012-03-22,03
262,  11-11-11,2011,3.9,/title/tt1712159/,,6963872.0,,2011-11-03,11
263,  The Cabin in the Woods,2011,7,/title/tt1259521/,30000000.0,70038838.0,40038838.0,2012-04-13,04
264,  The Darkest Hour,2011,4.9,/title/tt1093357/,30000000.0,64626786.0,34626786.0,2011-12-25,12
265,  The Devil Inside,2012,4.2,/title/tt1560985/,1000000.0,101758490.0,100758490.0,2012-01-06,01
266,  Sand Sharks,2012,2.6,/title/tt1844770/,,,,2012-07-31,07
267,  Elevator (V),2012,5.3,/title/tt1728975/,200000.0,14221.0,-185779.0,2012-01-20,01
268,  Underworld: Awakening,2012,6.3,/title/tt1496025/,70000000.0,160112671.0,90112671.0,2012-01-20,01
269,  The Pact (II),2012,5.7,/title/tt2040560/,400000.0,5664404.0,5264404.0,2012-06-08,06
270,  Black Rock,2012,4.8,/title/tt1930294/,,175682.0,,2013-05-17,05
271,  Excision,2012,6.1,/title/tt1984153/,,2757.0,,2012-11-02,11
272,  V/H/S,2012,5.8,/title/tt2105044/,242000.0,1944287.0,1702287.0,2012-09-06,09
273,  Grabbers,2012,6.3,/title/tt1525366/,4840000.0,427335.0,-4412665.0,2012-08-10,08
274,  John Dies at the End,2012,6.3,/title/tt1783732/,,141951.0,,2012-12-27,12
